,data_comment,data_relay,data_support,data_text,data_time
0,34,21,52,"置顶 咳咳，说个事情！陈年老问题：各种找不到配方，地址，这次都解决了！
【关注图1】，可直接在对话框里面输入需要查找的关键字。即可得到相关食谱！！
如果不会操作请戳文章：°配方汇总索引
【关注图2】，就可以找到好用的模具和工具，上新和活动（说的好像有似的？）
公公号未来将优先同步 ...展开全文c",9月2日 19:01
1,58,3,108,看你们交作业做的肉松卷卷好眼馋，我也做了一条。肥嘟嘟的。趁热就卷起来给豌豆啃了....木有美照留下.........配方稍微修了修，晚点发。自从用上带摄像头的烤箱，...断wifi都没有烤的动力了......惯得一身臭毛病,9月3日 19:51
2,5,1,19,四鲜馄饨，你交了好多条，我也不敢刷屏。不过我每一条都看到啦！谢谢你,9月3日 14:27
3,1,1,15,豌豆以前也是怕打蛋器,9月3日 14:24
4,评论,2,11,不介意！实实在在的肉不需要美颜,9月3日 14:23
5,5,转发,15,因为外面有色素呀，有人说我配方甜，你还自己加了糖,9月3日 13:51
6,8,转发,33,有粉丝担心假冒，不是哈。上面订阅号是我存食谱发些分享讯息哒。下面就是一个官方号（保号用，目前无内容）扫二维码不会错哈,9月2日 19:39
7,89,590,894,各种配方找不到，这下都解决啦！《配方汇总索引》 °配方汇总索引,9月2日 18:54
8,2,转发,14,好认真！看到打印的食谱了！效率真高！,9月2日 18:47
9,14,转发,25,加了味道更好哦！大蒜粉某宝可以买呢,9月2日 18:44
10,2,1,15,面包糠也自己做哦，厉害🏻,9月2日 18:44
11,评论,转发,11,不行被你们馋的我也得搞个肉松卷了。最近想吃咸味卷,9月2日 18:43
12,2,转发,12,完美的卷卷！,9月2日 18:42
13,8,1,18,目前不会研发防沉迷系统,9月2日 18:41
14,5,1,22,看来今天是宵夜，哟换头像了我依然认识你,9月1日 20:46
15,26,9,25,恭喜@li小粒 等10名用户获得【曲奇工具和免费课】。微博官方唯一抽奖工具@微博抽奖平台 对本次抽奖进行监督，结果公正有效。公证链接：O微博抽奖平台,9月1日 20:18
16,8,转发,17,感觉要抽到天荒地老,9月1日 20:17
17,96,5,180,老爸做的大！冷！面！,9月1日 17:02
18,84,转发,123,小妞蹦蹦跳跳去幼儿园了。我的心啊。说实话有点复杂,9月1日 11:08
