,data_comment,data_relay,data_support,data_text,data_time
0,69,32,97,"置顶 咳咳，说个事情！陈年老问题：各种找不到配方，地址，这次都解决了！
【关注图1】，可直接在对话框里面输入需要查找的关键字。即可得到相关食谱！！
如果不会操作请戳文章：°配方汇总索引
【关注图2】，就可以找到好用的模具和工具，上新和活动（说的好像有似的？）
公公号未来将优先同步 ...展开全文c",9月2日 19:01
1,13,转发,23,收到俺家官人@0夏天0 投掷的巧克力流心,今天 12:48
2,3,转发,32,你！赢！了,今天 11:30
3,1,转发,9,小手已经迫不及待了,今天 11:30
4,3,1,20,你这点分量不够豌豆一个人吃的,9月19日 22:03
5,11,1,23,妈呀想吃烧饼了！我其实也有不少烧饼配方呢。味心号里搜一把就都出来了,9月19日 21:03
6,14,转发,12,厉害了，我不能一个人饿！,9月19日 20:57
7,26,29,67,回复@张吻吻:你拍的那么好看是给我妒忌的吗？给你个图自己体会吧。 ¡评论配图 //@张吻吻:木柄的搪瓷奶锅不出了吗？一直等呢 ¡评论配图,9月19日 14:55
8,427,1408,1224,"9月【偶们上新咯】欢迎到店查阅哟~~~~
转发本条+点赞，本周五晚：20:00 抽10只可爱超不粘的小粉锅！（图3）",9月19日 14:04
9,40,33,64,"豪华大炒面已经更新【味心号】~~赶着吃的可以去先看哈！搜索味心号看图9.
味心号同时可以搜索往年的全部食谱（包含微博没有的），非常方便，需要可以加起来备用啦~~~也可以看置顶微博啦",9月19日 13:37
10,22,4,30,回复@婚礼的华盖:会，啥都会修。大到房子，小到首饰！修不修的好么，呵呵，看天气吧//@婚礼的华盖:所以你老公会修么？,9月19日 13:21
11,40,7,28,"我觉得男人也跟女人差不了多少啊。豌豆爸就是爱买工具箱啊。问他他还说你买一套一套化妆刷我说你了吗？去超市他主动帮我多买两包虾，结账了才知道原来满额换购工具箱啊。博世打折他屁颠屁颠买，我说那有必要一模一样买两套嘛？他说中秋节对折啊！
你是搞金融的好嘛？",9月19日 13:15
12,41,3,133,大半夜写食谱把自己写饿了..............美食如此多娇引无数英雄竟没腰.....,9月18日 21:42
13,155,8,231,"这一晚上，下学回来吃炒面，吃完半小时后又要吃馄饨，吃完馄饨又吃水果。幼儿园让你搬砖了吗，消耗这么大🤣🤣🤣
L八卦兔JadeCw的秒拍视频",9月18日 20:33
14,6,转发,9,看图上是个棒棒的卷呀,9月18日 20:24
15,4,转发,7,冷液体倒进去是会容易消泡哟。,9月18日 20:23
16,2,转发,20,打起泡实在不行打蛋器搅面钩也可以的哟。不过娃的称赞值回一切啦吧,9月18日 20:23
17,18,3,28,满意！满意！能送给我品尝就更满意还会写超过100字好评哟,9月17日 22:17
18,26,59,66,老爸的酱牛肉,9月17日 15:43
19,16,1,28,黄油温度有点高了呢。太软会影响打发效果。不过已经大卖了啊！好棒！加油！,9月17日 15:17
20,2,2,22,酥炸天！,9月17日 15:14
21,2,转发,9,表情是：拍完了吗？啥时候可以吃啊。我的耐心要没有啦,9月17日 15:13
22,1,1,17,做的好好不需要指导,9月17日 15:13
23,5,转发,9,你为啥把手马赛克了,9月17日 15:12
24,184,216,1395,被自己的炒面好吃的哭了,9月16日 20:22
25,6,2,28,这个卷担得起完美俩字,9月15日 16:53
26,39,转发,167,某个掉进米缸的小孩,9月15日 13:17
27,16,2,22,哆了哆嗦裱花嘴！同学你很有前途,9月15日 10:37
28,2,25,33,相当诱人,9月15日 10:36
29,13,转发,20,好丰富！周末啦,9月15日 10:35
30,27,1,29,好快的作业～～,9月13日 19:51
31,评论,1,17,喂～你蛾子哦不对你兔纸在我手上⋯⋯你要给我一百万赎金,9月13日 19:50
32,4,2,13,同微博名！尬直播吧,9月13日 12:38
33,5,转发,14,也不是故意不看，因为有一种错觉，跟我沟通的是小助理，礼貌上我习惯是看说话的人。一边看这边手机一边听助力问题，有点分裂。还没转过来,9月13日 12:37
34,1,转发,10,你的邻居是闻着味道来的吗,9月13日 12:34
35,12,1,8,说！昨天在曲奇群里歪楼发炸鸡的素不素你,9月13日 12:33
36,157,1,341,第一次直播，紧张ing，求鼓励求打气,9月12日 15:15
37,26,29,22,奇怪了明明编辑的时候动图可以啊。你们看动图是不是不动？还想着动图方便看状态呢。,9月11日 15:50
38,76,653,546,发布了头条文章：《口味清爽的【香葱肉松卷】》 °口味清爽的【香葱肉松卷】,9月11日 14:08
39,51,3,149,她说：妈我病了夜宵给吃点好的吧⋯还说反正我吃啥都不胖你吃啥都会胖，扎妈咯老宝！,9月10日 20:08
40,2,8,27,说好咯！,9月10日 10:35
41,12,21,52,老爸出差了，我又吃不着了。没法炫父了。,9月10日 10:35
42,9,1,12,看到说我丑到怀疑人生我的内心是 然后发现⋯⋯嗯香肠不错,9月10日 10:33
43,62,转发,124,某小孩发烧39.5还食欲不减的吃了20个馄饨，半根玉米。吃饱了准备去见医生了。,9月10日 08:51
,data_comment,data_relay,data_support,data_text,data_time
0,3,3,5,亲测面粉还有粉条粉丝都超级好,9月19日 21:27
1,1,2,4,我必须诚实的说图五的太诱人了,9月19日 21:24
2,26,1,52,"今天莫名的特开心，买了些喜欢的东西，吃到了好吃的食物。收拾好家，洗干净衣服，是不是幸福笑点太低
等我陆续收到下单的东西，吃着好了也分享给你们",9月19日 20:02
3,2,2,4,哇我也好想学习去,9月19日 13:44
4,2,8,7,因为涵爸超爱吃，就又下单了一盒，今天刚收到,9月18日 20:29
5,39,转发,35,两人人放学了非要吃外面的好吃的，尽管做了晚饭也没人捧场🤣L百合雨儿的秒拍视频（上#秒拍#看我的最新短视频，下载秒拍->O网页链接）,9月18日 18:00
6,54,1,92,新周早餐，馅盒子，蒸＋紫薯＋🍠，拌木耳，黑芝麻红枣山药米糊， 早晨的光线越来越不好，只能开高曝光，导致照片几乎都是糊的，大家凑合看吧！弟弟今天其实也吃了，就是有点起床气，不让拍照。好吧，大家就随意看，孩子们快乐就好,9月18日 09:32
7,44,4,89,"周末午饭，茄汁大虾，梅菜扣肉，肉末粉丝茄子煲，醋溜角瓜，  
茄汁大虾做法是先用油炸一下，顺便炸虾的红油也可以留下来。然后蒜泥炝锅，倒入番茄酱，倒入炸好的大虾，放少许的水，料酒，糖，临出锅勾一点芡即可。
这次在莫干山买的梅干菜真不错，蒸出来的扣肉味道超赞。开始因为没打算做，所以五 ...展开全文c",9月17日 15:30
8,78,4,134,午餐，咖喱土豆牛肉，木须肉，干煸菜花，凉拌西红柿，紫薯饭。 最捧场的依然是我们弟弟，给妈妈点了个,9月16日 16:00
9,1,转发,9,你是越拍越棒了 好想吃麻婆豆腐,9月15日 14:08
10,31,转发,33,"这一周每天都出去办事，一折腾就是一上午，加上下午接孩子两趟，累的一点胃口都没有。
今早一上称竟然瘦了4斤，涵爸真是亲老公，跟我说我身上的脂肪饿一周也不会有问题的只要没饿出胃病的前提下，还是保持住以后别多吃了
我发现因为整整一周几乎没吃啥东西，胃真的小了，下午4点我只吃了点黑巧克 ...展开全文c",9月14日 19:41
11,32,20,85,共勉,9月13日 20:51
12,2,6,4,图2的杯子好玩了。,9月12日 12:19
13,2,1,11,这个组织看着不错嘛,9月12日 08:30
14,73,转发,170,来一组治愈系笑容🏻🏻,9月11日 09:06
15,142,3,73,这几天跟涵爸爸生气了，所以在家根本不搭理他。但郁闷的是，我们家的车装了个什么破系统，可以在他手机上随时显示车在哪里，还可以控制车的一切。昨天我本来说开车出门自己玩去，结果一想不行他能看到的我去了哪里（这事太tmd的烦人了）。今天下午带着两个孩子出来买教师节礼物，估计我又忘记锁车门了 ...展开全文c,9月10日 18:33
16,23,1,21,哇谢谢亲爱的这么高的评价  辣椒酱配上你蒸的大白馒头也是绝了,9月10日 14:31
17,18,转发,56,我家女汉子的日常......,9月7日 17:55
18,80,1,91,早餐，荠菜鲜肉馄饨，蒸🍠，五香花生，拌紫甘蓝，🍐 以后弟弟就不在家吃早饭了，幼儿园每天是吃三餐的，他总在家吃，该不好好吃幼儿园的饭了。早晨我们吃他就在旁边不高兴了，说我没给他吃早饭，哄了半天这才算过去了。送他们俩上学路上，弟弟跟姐姐说，你今天下午要来接我哦，不能说嫌热就不来。 ...展开全文c,9月7日 09:52
19,评论,转发,24,哇看着比我做的都好,9月7日 09:39
20,35,2,82,"#关于双子座男生的日常#吃晚饭的时候逗弟弟问他最喜欢妈妈还是姐姐，弟弟小眯眯眼一笑，继续埋头吃饭，打死我也不回答你。
我跟他姐都太了解他这种不得罪人的性格。刚才我跟弟弟在客厅玩，问他我和姐姐他最喜欢谁，他毫不犹豫的说是我。然后去了姐姐房间姐姐问了同样问题，他又说最喜欢姐姐。
当然了对 ...展开全文c",9月5日 20:36
21,15,1,29,南瓜发糕已经更新在公 众 号了，等你们作业哦,9月5日 15:55
22,106,70,398,四人份早餐🏻‍🥗🍈🍑🥒,9月5日 08:24
23,16,5,50,我们🏻也放学了,9月4日 17:46
24,38,转发,69,先放学的好处 某人正偷着乐呢,9月4日 16:19
25,62,1,107,"早餐，南瓜红枣发糕，炒小白菜＋胡萝卜，月饼，醪糟蛋花汤，枣。 新周好呀，讲个好玩的事，早晨开车送她俩，到了车位按了开锁，也听见车响了，可是怎么拉车门都拉不开。急的我啊，结果涵涵发现我拉的是跟我家这一模一样，停在我家车旁边的另一辆车
今天准备的早餐都是暖暖的，我 ...展开全文c",9月4日 08:44
26,106,4,113,周末午餐，笋干红烧肉，排骨白菜炖粉条，蒜苔炒肉丝，西红柿炒鸡蛋，青梅酒。今天每个人点了一道自己喜欢的菜，大家吃的都很满足。感觉这一大天别的啥都没干，竟做饭了 早晨吃的戚风蛋糕，因为脱模脱残了所以我们就不拍照啦！青梅酒的杯子是@瑾然友叙杂货铺 家的，非常喜欢，晶莹剔透的。,9月3日 15:27
27,101,2,100,#开学啦#高纤奶酪包，奇亚籽谷物酸奶，烤肠，蔬菜沙拉，黄桃罐头。 姐弟俩个今天都开学啦，给她俩做了爱吃的煎肠，和内容丰富的酸奶，麦片是@S素味平生S 珊珊做的四种的麦片，一人一个口味吃的超满足，里面还放了我提前泡好的奇亚籽。黄桃罐头是去年做的剩下的最后3瓶，怎么样保存的还不错吧 ...展开全文c,9月1日 08:50
28,137,4,129,"早餐，，厚蛋烧，西红柿秋葵汤，红心猕猴桃🥝 这几天看孝利家的民宿，被各种拌饭饭团馋的不行，早晨特意焖了一锅新米饭做饭团，太好吃了
@yaya小舍 家的红心猕猴桃是真甜啊，好吃😋
明天孩子们就开学了，一切又要恢复往日的繁忙想问你们最喜欢和期待看我家早餐的哪个部分，是孩 ...展开全文c",8月31日 08:25
29,61,2,131,#日常#孩子们去了姥姥家两天，我就懒洋洋的在家洗洗衣服，收拾收拾屋子，更多的时候都是在睡觉 下午把她们接回来顺便去采购一些吃的，逛逛花市，回来装点一下屋子。迎着夕阳，听着熟悉的老歌，生活就这样平淡中带着些小确幸，慢慢的度过......,8月30日 18:56
