,data_comment,data_relay,data_support,data_text,data_time
0,42,23,65,"置顶 咳咳，说个事情！陈年老问题：各种找不到配方，地址，这次都解决了！
【关注图1】，可直接在对话框里面输入需要查找的关键字。即可得到相关食谱！！
如果不会操作请戳文章：°配方汇总索引
【关注图2】，就可以找到好用的模具和工具，上新和活动（说的好像有似的？）
公公号未来将优先同步 ...展开全文c",9月2日 19:01
1,11,3,19,你还加芝麻！芝麻很贵好嘛，开店立马亏损,9月5日 20:49
2,45,3,34,不站任何一方。但是我自己生孩子凭啥不能决定怎么生，真是⋯⋯自己的命自己都做不了主,9月5日 20:34
3,11,转发,7,回复@一只小陈默:找不到方子都请看置顶帖哟。一双手回不过来啦。//@一只小陈默:方子在哪里看呀诚挚地求方子…我是新来的粉丝//@八卦兔JadeCw:腌料和裹粉里面加辣椒粉都可以。,9月5日 20:26
4,7,1,22,腌料和裹粉里面加辣椒粉都可以。,9月5日 19:47
5,2,转发,12,偶跟你缩，爱喝冰的证明你还年轻，年纪大的都抱着暖水壶喝的[酷][酷][酷],9月5日 19:46
6,5,1,30,看到肉汁啦！,9月5日 19:44
7,评论,转发,11,同吃过鸡胸的人会懂,9月5日 19:43
8,82,12,779,"我的媳妇跟我同款烤箱然后最近我们都在尬直播。她今天烤了一只鸡。烤箱内直播⋯⋯
烤半小时发现还是图2⋯⋯然后默默关了
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈",9月5日 13:48
9,90,6,136,看你们交作业做的肉松卷卷好眼馋，我也做了一条。肥嘟嘟的。趁热就卷起来给豌豆啃了....木有美照留下.........配方稍微修了修，晚点发。自从用上带摄像头的烤箱，...断wifi都没有烤的动力了......惯得一身臭毛病,9月3日 19:51
10,6,2,23,四鲜馄饨，你交了好多条，我也不敢刷屏。不过我每一条都看到啦！谢谢你,9月3日 14:27
11,2,2,20,豌豆以前也是怕打蛋器,9月3日 14:24
12,评论,2,15,不介意！实实在在的肉不需要美颜[酷],9月3日 14:23
13,7,转发,20,因为外面有色素呀，有人说我配方甜，你还自己加了糖,9月3日 13:51
14,9,转发,36,有粉丝担心假冒，不是哈。上面订阅号是我存食谱发些分享讯息哒。下面就是一个官方号（保号用，目前无内容）扫二维码不会错哈,9月2日 19:39
15,95,652,979,各种配方找不到，这下都解决啦！《配方汇总索引》 °配方汇总索引,9月2日 18:54
16,2,转发,15,好认真！看到打印的食谱了！效率真高！,9月2日 18:47
17,14,转发,27,加了味道更好哦！大蒜粉某宝可以买呢,9月2日 18:44
18,2,1,16,面包糠也自己做哦，厉害🏻,9月2日 18:44
19,评论,转发,12,不行被你们馋的我也得搞个肉松卷了。最近想吃咸味卷,9月2日 18:43
20,2,转发,12,完美的卷卷！,9月2日 18:42
21,8,1,21,目前不会研发防沉迷系统,9月2日 18:41
22,5,1,22,看来今天是宵夜，哟换头像了我依然认识你,9月1日 20:46
23,26,9,26,恭喜@li小粒 等10名用户获得【曲奇工具和免费课】。微博官方唯一抽奖工具@微博抽奖平台 对本次抽奖进行监督，结果公正有效。公证链接：O微博抽奖平台,9月1日 20:18
24,9,转发,17,感觉要抽到天荒地老,9月1日 20:17
25,96,5,183,老爸做的大！冷！面！,9月1日 17:02
26,84,转发,124,小妞蹦蹦跳跳去幼儿园了。我的心啊。说实话有点复杂,9月1日 11:08
27,29,4,63,嗯！每个人口味会有差别。我只能以我和家人的口味做依据。其实你们可以根据自己喜欢调整。我不爱写适量，虽然可以推说不好吃是你量不适，我喜欢分量准确。至少你们下料不会完全没方向。,8月31日 21:17
28,15,2,16,做成肉松的好棒！,8月31日 19:32
29,8,27,41,我是嫌弃外面皮手艺没我好。其实自己绞肉就已经挺放心了！肉好！,8月31日 19:30
30,1,转发,9,搓的真均匀！完美！,8月31日 19:27
31,8,转发,16,豌豆爱吃的我都是间隔着给吃。怕老吃吃腻。然后我又要搞研发。新的香肠模具到货咯。,8月31日 19:26
32,6,转发,19,怀着宝宝不容易的，吃不好还睡不踏实。祝一切顺利完美升级,8月31日 19:24
33,19,43,67,小喇叭叭叭叭，免费课明晚抽哟。,8月31日 13:45
34,26,转发,24,呸糊我自己，给人买礼物，问能不能代写生日卡，答曰没有！跟客服mm谈感情谈人生，磨人家写贺卡。人家好容易答应了。我也要拍了才发现找错店铺了。怪不得从来没有写卡业务！谁送人礼物送个钢化玻璃膜！只有我！只有我,8月31日 13:13
35,366,6,343,说起来今天好像是我生日啊。做个无油的素面朝天的蛋糕自己啃啃吧。,8月30日 13:32
36,3,转发,14,香菜不够，薄荷来凑！继续帮老爸收作业,8月29日 18:52
37,1,转发,11,卖！,8月29日 18:51
38,2,转发,5,帮老爸收作业,8月29日 18:50
39,1,转发,8,猪排的方子做的吧,8月29日 18:49
40,40,25,100,回复@桃子西瓜塔:能！会讲各种原料，配比对成品口感影响。也会分析操作，各种失败问题。因为很多失败原因不是单一的，前后都有影响。我会说的比较细，只要你们不嫌弃！//@桃子西瓜塔:亲爱的 我挤过一次曲奇 面糊从花嘴里出来完全没任何形状 特别软 最后冻了切成饼干还挺好吃  这种情况听了课能解决么,8月29日 14:09
41,484,1302,1169,"【文末福利】直播曲奇课上线！一度风靡的网红曲奇，四种口味一次收罗！
小小曲奇，或酥松，或硬脆，看似很简单实则不简单！参与戳>>>O网页链接
我们从原料影响的开始详解。制作曲奇；演示操作，分享窍门以及常见的问题。
无论是个人兴趣，还是创业售卖，你都会有不同的收获！期待与你们相遇 ...展开全文c",8月29日 13:20
42,7,转发,14,也可以试试大盘鸡🙋,8月28日 19:25
43,4,3,21,想收花,8月28日 19:24
