,data_comment,data_relay,data_support,data_text,data_time
0,62,27,83,"置顶 咳咳，说个事情！陈年老问题：各种找不到配方，地址，这次都解决了！
【关注图1】，可直接在对话框里面输入需要查找的关键字。即可得到相关食谱！！
如果不会操作请戳文章：°配方汇总索引
【关注图2】，就可以找到好用的模具和工具，上新和活动（说的好像有似的？）
公公号未来将优先同步 ...展开全文c",9月2日 19:01
1,20,转发,27,好快的作业～～,9月13日 19:51
2,评论,1,14,喂～你蛾子哦不对你兔纸在我手上⋯⋯你要给我一百万赎金,9月13日 19:50
3,3,1,13,同微博名！尬直播吧,9月13日 12:38
4,5,转发,13,也不是故意不看，因为有一种错觉，跟我沟通的是小助理，礼貌上我习惯是看说话的人。一边看这边手机一边听助力问题，有点分裂。还没转过来,9月13日 12:37
5,1,转发,9,你的邻居是闻着味道来的吗,9月13日 12:34
6,10,转发,7,说！昨天在曲奇群里歪楼发炸鸡的素不素你,9月13日 12:33
7,152,1,336,第一次直播，紧张ing，求鼓励求打气,9月12日 15:15
8,26,19,19,奇怪了明明编辑的时候动图可以啊。你们看动图是不是不动？还想着动图方便看状态呢。,9月11日 15:50
9,69,556,500,发布了头条文章：《口味清爽的【香葱肉松卷】》 °口味清爽的【香葱肉松卷】,9月11日 14:08
10,51,3,147,她说：妈我病了夜宵给吃点好的吧⋯还说反正我吃啥都不胖你吃啥都会胖，扎妈咯老宝！,9月10日 20:08
11,2,8,26,说好咯！,9月10日 10:35
12,12,17,51,老爸出差了，我又吃不着了。没法炫父了。,9月10日 10:35
13,9,1,11,看到说我丑到怀疑人生我的内心是 然后发现⋯⋯嗯香肠不错,9月10日 10:33
14,61,转发,121,某小孩发烧39.5还食欲不减的吃了20个馄饨，半根玉米。吃饱了准备去见医生了。,9月10日 08:51
15,6,4,40,布丁蛋糕真是看一次馋一次。你们应该都知道哪里搜方子哈！,9月9日 21:50
16,31,转发,51,我吃馄饨喜欢放辣油➕香醋。有人跟我一样嘛？,9月9日 21:48
17,3,2,30,你这个描述简直碾压我了我下次写描述要再努努力了,9月9日 21:47
18,32,1,13,回复@我是火星星来着:可以的，错过也不怕，以后都可以无限看录像。但是不可以截我表情包//@我是火星星来着:兔兔，如果买了课但是那天临时有事，能有回放看么？,9月9日 13:39
19,24,2,7,回复@dagoubaobao:之后有个课后群，我是打算再附赠配方的。只是修配方需要时间，不一定能meet上课时间。所以课程上就写四种。//@dagoubaobao:下厨房课买了，可惜没有巧克力曲奇,9月9日 13:38
20,93,73,342,《下周二直播曲奇课》 °下周二直播曲奇课,9月9日 13:30
21,13,2,77,"今晚信誓旦旦指天指地发誓努力，
明早搂着抱枕歇斯底里赖床不起。
我就是我嘛[嘿哈]爱我自己。晚安",9月8日 23:12
22,15,1,51,为了多吃几口饭，我也是很拼。#健身打卡#,9月8日 18:18
23,106,转发,158,我大概是被屏蔽了哈哈哈哈哈哈。现在应该没人看得到我发微博。那我可要发自拍了了。,9月8日 15:32
24,12,16,20,现在的限制机制大部分粉丝看不到配方更新，所以做了一个工^号，订阅后可以方便在历史消息查找配方。微博也会同步更新，就是实在不好翻找，对吧。,9月8日 15:23
25,26,69,44,"胖嘟【肉松卷】的食谱和详细做法【公*号】已推~~~很详细有动图。可以去先睹为快哈。
稍后也会同步这边。",9月8日 14:20
26,26,2,39,之前的原味蛋糕卷就可以直接做肉松卷。 新的胖卷也很好，新方子整理ing！,9月7日 21:50
27,80,转发,119,别说正面了就是底面直接放烤网，也是不会粘掉皮呀。大胖子卷。,9月7日 15:15
28,69,2,59,最后一秒高能预警！谁能猜到我干了什么？L八卦兔JadeCw的秒拍视频,9月7日 13:55
29,12,5,24,你还加芝麻！芝麻很贵好嘛，开店立马亏损,9月5日 20:49
30,48,2,39,不站任何一方。但是我自己生孩子凭啥不能决定怎么生，真是⋯⋯自己的命自己都做不了主,9月5日 20:34
31,12,转发,8,回复@一只小陈默:找不到方子都请看置顶帖哟。一双手回不过来啦。//@一只小陈默:方子在哪里看呀诚挚地求方子…我是新来的粉丝//@八卦兔JadeCw:腌料和裹粉里面加辣椒粉都可以。,9月5日 20:26
32,7,1,23,腌料和裹粉里面加辣椒粉都可以。,9月5日 19:47
33,3,1,14,偶跟你缩，爱喝冰的证明你还年轻，年纪大的都抱着暖水壶喝的,9月5日 19:46
34,7,1,32,看到肉汁啦！,9月5日 19:44
35,1,转发,13,同吃过鸡胸的人会懂,9月5日 19:43
36,88,13,827,"我的媳妇跟我同款烤箱然后最近我们都在尬直播。她今天烤了一只鸡。烤箱内直播⋯⋯
烤半小时发现还是图2⋯⋯然后默默关了
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈",9月5日 13:48
37,96,6,142,看你们交作业做的肉松卷卷好眼馋，我也做了一条。肥嘟嘟的。趁热就卷起来给豌豆啃了....木有美照留下.........配方稍微修了修，晚点发。自从用上带摄像头的烤箱，...断wifi都没有烤的动力了......惯得一身臭毛病,9月3日 19:51
38,7,2,24,四鲜馄饨，你交了好多条，我也不敢刷屏。不过我每一条都看到啦！谢谢你,9月3日 14:27
39,2,2,20,豌豆以前也是怕打蛋器,9月3日 14:24
40,评论,2,18,不介意！实实在在的肉不需要美颜,9月3日 14:23
41,7,转发,23,因为外面有色素呀，有人说我配方甜，你还自己加了糖,9月3日 13:51
42,10,转发,39,有粉丝担心假冒，不是哈。上面订阅号是我存食谱发些分享讯息哒。下面就是一个官方号（保号用，目前无内容）扫二维码不会错哈,9月2日 19:39
43,99,686,1005,各种配方找不到，这下都解决啦！《配方汇总索引》 °配方汇总索引,9月2日 18:54
,data_comment,data_relay,data_support,data_text,data_time
0,29,转发,23,"这一周每天都出去办事，一折腾就是一上午，加上下午接孩子两趟，累的一点胃口都没有。
今早一上称竟然瘦了4斤，涵爸真是亲老公，跟我说我身上的脂肪饿一周也不会有问题的只要没饿出胃病的前提下，还是保持住以后别多吃了
我发现因为整整一周几乎没吃啥东西，胃真的小了，下午4点我只吃了点黑巧克 ...展开全文c",9月14日 19:41
1,31,17,77,共勉,9月13日 20:51
2,2,6,4,图2的杯子好玩了。,9月12日 12:19
3,2,转发,9,这个组织看着不错嘛,9月12日 08:30
4,72,转发,168,来一组治愈系笑容🏻🏻,9月11日 09:06
5,136,3,71,这几天跟涵爸爸生气了，所以在家根本不搭理他。但郁闷的是，我们家的车装了个什么破系统，可以在他手机上随时显示车在哪里，还可以控制车的一切。昨天我本来说开车出门自己玩去，结果一想不行他能看到的我去了哪里（这事太tmd的烦人了）。今天下午带着两个孩子出来买教师节礼物，估计我又忘记锁车门了 ...展开全文c,9月10日 18:33
6,22,1,20,哇谢谢亲爱的这么高的评价  辣椒酱配上你蒸的大白馒头也是绝了,9月10日 14:31
7,18,转发,55,我家女汉子的日常......,9月7日 17:55
8,80,1,91,早餐，荠菜鲜肉馄饨，蒸🍠，五香花生，拌紫甘蓝，🍐 以后弟弟就不在家吃早饭了，幼儿园每天是吃三餐的，他总在家吃，该不好好吃幼儿园的饭了。早晨我们吃他就在旁边不高兴了，说我没给他吃早饭，哄了半天这才算过去了。送他们俩上学路上，弟弟跟姐姐说，你今天下午要来接我哦，不能说嫌热就不来。 ...展开全文c,9月7日 09:52
9,评论,转发,23,哇看着比我做的都好,9月7日 09:39
10,31,2,82,"#关于双子座男生的日常#吃晚饭的时候逗弟弟问他最喜欢妈妈还是姐姐，弟弟小眯眯眼一笑，继续埋头吃饭，打死我也不回答你。
我跟他姐都太了解他这种不得罪人的性格。刚才我跟弟弟在客厅玩，问他我和姐姐他最喜欢谁，他毫不犹豫的说是我。然后去了姐姐房间姐姐问了同样问题，他又说最喜欢姐姐。
当然了对 ...展开全文c",9月5日 20:36
11,15,1,26,南瓜发糕已经更新在公 众 号了，等你们作业哦,9月5日 15:55
12,105,68,391,四人份早餐🏻 🥗🍈🍑🥒,9月5日 08:24
13,16,5,51,我们🏻也放学了,9月4日 17:46
14,38,转发,68,先放学的好处 某人正偷着乐呢,9月4日 16:19
15,62,1,105,"早餐，南瓜红枣发糕，炒小白菜＋胡萝卜，月饼，醪糟蛋花汤，枣。 新周好呀，讲个好玩的事，早晨开车送她俩，到了车位按了开锁，也听见车响了，可是怎么拉车门都拉不开。急的我啊，结果涵涵发现我拉的是跟我家这一模一样，停在我家车旁边的另一辆车
今天准备的早餐都是暖暖的，我 ...展开全文c",9月4日 08:44
16,106,3,112,周末午餐，笋干红烧肉，排骨白菜炖粉条，蒜苔炒肉丝，西红柿炒鸡蛋，青梅酒。今天每个人点了一道自己喜欢的菜，大家吃的都很满足。感觉这一大天别的啥都没干，竟做饭了 早晨吃的戚风蛋糕，因为脱模脱残了所以我们就不拍照啦！青梅酒的杯子是@瑾然友叙杂货铺 家的，非常喜欢，晶莹剔透的。,9月3日 15:27
17,101,转发,99,#开学啦#高纤奶酪包，奇亚籽谷物酸奶，烤肠，蔬菜沙拉，黄桃罐头。 姐弟俩个今天都开学啦，给她俩做了爱吃的煎肠，和内容丰富的酸奶，麦片是@S素味平生S 珊珊做的四种的麦片，一人一个口味吃的超满足，里面还放了我提前泡好的奇亚籽。黄桃罐头是去年做的剩下的最后3瓶，怎么样保存的还不错吧 ...展开全文c,9月1日 08:50
18,134,3,128,"早餐，，厚蛋烧，西红柿秋葵汤，红心猕猴桃🥝 这几天看孝利家的民宿，被各种拌饭饭团馋的不行，早晨特意焖了一锅新米饭做饭团，太好吃了
@yaya小舍 家的红心猕猴桃是真甜啊，好吃😋
明天孩子们就开学了，一切又要恢复往日的繁忙想问你们最喜欢和期待看我家早餐的哪个部分，是孩 ...展开全文c",8月31日 08:25
19,61,2,130,#日常#孩子们去了姥姥家两天，我就懒洋洋的在家洗洗衣服，收拾收拾屋子，更多的时候都是在睡觉 下午把她们接回来顺便去采购一些吃的，逛逛花市，回来装点一下屋子。迎着夕阳，听着熟悉的老歌，生活就这样平淡中带着些小确幸，慢慢的度过......,8月30日 18:56
20,107,3,148,#七夕快乐#早餐，猪肉大葱包子，玉米南瓜粥，拌黄瓜丝，无花果。凉快的清晨，大家都睡了个舒服的觉，起来又能量满满了。早晨买菜时候，店里老板问我今天怎么过七夕呀！我才知道今天是七夕，没有什么特别的想法，还是照常吃吃喝喝 不过还是要祝你们七夕快乐呦[牛郎][织女],8月28日 11:39
21,46,转发,59,"马上就要到北京了，所有的厚衣服已经换上（包邮区的同学们让你们羡慕一下，我们终于不用热成狗）。
这次我们两个旅行箱两个背包，尽管是夏天可孩子们的衣服加上游泳的装备基本就都满了。带着孩子最麻烦的就是要在有限的空间内带上你能考虑到她们可能会需要穿的各种衣服。
这次出行给自己点个赞，他 ...展开全文c",8月27日 21:26
22,48,转发,75,我们终于出发回北京了，你们包邮区真的太太太太太热啦 听说我们大北京今天下雨还超级凉爽说实话这次没玩累，而是被晒累热懵的 孩子都还好，比想象的乐观和体力好,8月27日 16:07
23,115,30,1177,一组来自南浔古镇的游客照,8月27日 10:53
