,data_comment,data_relay,data_support,data_text,data_time
0,87,33,119,"置顶 咳咳，说个事情！陈年老问题：各种找不到配方，地址，这次都解决了！
【关注图1】，可直接在对话框里面输入需要查找的关键字。即可得到相关食谱！！
如果不会操作请戳文章：°配方汇总索引
【关注图2】，就可以找到好用的模具和工具，上新和活动（说的好像有似的？）
公公号未来将优先同步 ...展开全文c",9月2日 19:01
1,9,转发,11,脑子当机一分钟，拔出相机电池对着读卡器怼了半天。,今天 16:00
2,3,19,29,这个必须转分享,今天 15:49
3,1,转发,7,就要太好用,今天 15:48
4,6,1,6,鸡的姿势满分,今天 15:41
5,23,104,110,《喂！又一个压箱底教你啦！不用加温的全蛋海绵！》 °喂！又一个压箱底教你啦！不用加温的全蛋海绵！,今天 13:58
6,42,6,61,买了两包健康糖，挺有趣的，有碳水但是居然是0卡路里。据说是砂糖甜度的2倍。准备拿来煮甜汤什么的，毕竟一个月总有那么30多天想吃点甜的。,今天 13:11
7,15,转发,38,大家好，给大家提示一下，这个是你的假期进度条。,10月8日 14:49
8,8,1,28,也是因为你们作业质量高,10月6日 19:58
9,11,3,26,我记得有小伙伴分享是低筋粉替换6-8g可可粉,10月6日 19:56
10,8,2,27,看成了康师傅我大概馋泡面了,10月6日 19:54
11,7,1,23,白胖喧腾,10月6日 19:53
12,29,5,98,豌大厨最近下厨热情高涨，以前都是摆摆架势，这次是真的自己完成了几乎90%的工序。入炉之后就盯着app看烤箱直播。欢欢翻译的这本饼干书上基本都是低脂配方，操作也特别简单，适合亲子和新手小白。感觉上架建议4+,10月6日 13:12
13,4,18,14,给娃要吃放心香肠,10月2日 10:44
14,5,转发,19,这还叫“简单一点”,10月2日 10:43
15,4,1,12,大概可能真的是假肉，毕竟现在植物蛋白很普遍呀ps我也想尝尝椰子腰果奶,10月2日 10:41
16,6,13,24,煎完的确看起来好好吃,10月1日 20:10
17,66,1,116,趁放假人少发个吃播秃噜饼卷韭菜塞了牙L八卦兔JadeCw的秒拍视频,10月1日 19:36
18,32,转发,55,今天大概都出去玩了吧，有人错峰蹲在家嘛只有我在家病号趴,10月1日 19:07
19,63,25,132,本月最爱的泡面啊。百胜厨的laska拉面啊。面包料包也是很大份，喜欢东南亚风的会爱上。只推荐牌子不甩链。免得以为是ad。虾是我自己加的请不要多想,9月30日 15:12
20,1,2,22,因为都是真材实料！,9月30日 14:27
21,2,转发,16,欢迎拨打！我家是400，打call免费哒,9月30日 14:25
22,5,转发,14,做的好美，不过发烧的人看见有点无力,9月30日 14:24
23,10,9,33,"作业墙最近被炒面霸屏了
假期来了。如果懒在家不知道该吃点啥真是个不错的选择呀。做法戳  O网页链接",9月30日 14:20
24,6,转发,21,谢谢你们的作业反馈！这几日生病微博逛的少了，有的作业没及时回复见谅呀,9月29日 13:02
25,14,3,107,松鼠之友小豌豆。,9月27日 10:51
26,6,转发,18,别难为情，第一次吃我也被自己的才艺感动哭了,9月26日 18:49
27,7,1,17,好吧，我把做法改为：等你忍不了了再忍两三分钟就出锅吧,9月26日 13:15
28,3,转发,20,黑胡椒本来就是选放，喜欢都可以撒一点提味。不喜欢不放ok啦,9月26日 12:35
29,97,8,26,有木有沈阳的小伙伴推荐好吃的给偶,9月26日 11:34
